fecha_dia,anyo,mes,ciudad,total_envios,envios_entregados,envios_incidencias,envios_devueltos,pct_sla_cumplido,pct_incidencia,tiempo_medio_transito_h,facturacion_total
2024-01-06,2024,1,Barcelona,8,6,2,0,12.5,25.0,23.75,71.07
2024-01-06,2024,1,Bilbao,1,0,1,0,0.0,100.0,,5.16
2024-01-06,2024,1,Madrid,15,13,1,1,53.33,6.67,21.78,173.95
2024-01-06,2024,1,Sevilla,3,3,0,0,66.67,0.0,21.47,31.32
2024-01-06,2024,1,Valencia,1,0,0,1,0.0,0.0,,15.19
2024-01-07,2024,1,Barcelona,3,3,0,0,100.0,0.0,20.43,43.1
2024-01-07,2024,1,Madrid,3,2,0,1,66.67,0.0,12.24,32.38
2024-01-07,2024,1,Valencia,3,3,0,0,0.0,0.0,30.62,39.43
2024-01-08,2024,1,Barcelona,3,3,0,0,66.67,0.0,15.85,41.38
2024-01-08,2024,1,Bilbao,2,2,0,0,0.0,0.0,31.47,21.19
2024-01-08,2024,1,Madrid,16,14,2,0,62.5,12.5,17.29,176.18
2024-01-08,2024,1,Sevilla,7,7,0,0,71.43,0.0,15.31,81.77
2024-01-08,2024,1,Valencia,2,1,1,0,50.0,50.0,13.97,15.37
2024-01-09,2024,1,Barcelona,7,4,2,1,42.86,28.57,19.74,62.31
2024-01-09,2024,1,Bilbao,2,1,0,1,50.0,0.0,17.2,25.12
2024-01-09,2024,1,Madrid,13,12,0,1,69.23,0.0,15.8,164.93
2024-01-09,2024,1,Sevilla,6,6,0,0,50.0,0.0,21.5,75.2
2024-01-09,2024,1,Valencia,7,6,0,1,57.14,0.0,19.32,84.01
2024-01-10,2024,1,Barcelona,16,13,1,2,18.75,6.25,27.75,174.11
2024-01-10,2024,1,Bilbao,1,0,0,1,0.0,0.0,,12.73
2024-01-10,2024,1,Madrid,12,6,4,2,50.0,33.33,13.02,122.94
2024-01-10,2024,1,Sevilla,3,2,1,0,66.67,33.33,11.72,36.75
2024-01-10,2024,1,Valencia,4,4,0,0,50.0,0.0,22.13,27.52
2024-01-11,2024,1,Barcelona,10,9,0,1,60.0,0.0,20.47,99.8
2024-01-11,2024,1,Bilbao,1,0,1,0,0.0,100.0,,17.02
2024-01-11,2024,1,Madrid,14,13,0,1,64.29,0.0,21.47,144.77
2024-01-11,2024,1,Sevilla,3,2,1,0,66.67,33.33,10.26,34.92
2024-01-11,2024,1,Valencia,7,5,1,1,71.43,14.29,11.63,87.13
2024-01-12,2024,1,Barcelona,10,7,2,1,40.0,20.0,21.33,97.86
2024-01-12,2024,1,Bilbao,3,1,1,1,33.33,33.33,10.1,40.38
2024-01-12,2024,1,Madrid,15,13,1,1,53.33,6.67,22.73,175.47
2024-01-12,2024,1,Sevilla,6,5,1,0,50.0,16.67,19.66,67.45
2024-01-12,2024,1,Valencia,4,4,0,0,50.0,0.0,25.72,44.84
2024-01-13,2024,1,Barcelona,1,1,0,0,0.0,0.0,26.42,8.18
2024-01-13,2024,1,Bilbao,1,1,0,0,100.0,0.0,21.82,16.28
2024-01-13,2024,1,Madrid,9,9,0,0,44.44,0.0,25.41,92.35
2024-01-13,2024,1,Valencia,2,1,1,0,0.0,50.0,28.0,12.04
2024-01-14,2024,1,Barcelona,5,4,1,0,40.0,20.0,27.43,60.21
2024-01-14,2024,1,Madrid,2,2,0,0,100.0,0.0,19.04,10.95
2024-01-14,2024,1,Sevilla,2,2,0,0,0.0,0.0,30.38,27.94
2024-01-14,2024,1,Valencia,1,1,0,0,0.0,0.0,24.13,9.42
2024-01-15,2024,1,Barcelona,11,8,1,2,45.45,9.09,19.59,119.9
2024-01-15,2024,1,Bilbao,2,0,2,0,0.0,100.0,,24.61
2024-01-15,2024,1,Madrid,15,15,0,0,46.67,0.0,21.71,118.44
2024-01-15,2024,1,Sevilla,7,6,1,0,57.14,14.29,20.67,71.52
2024-01-15,2024,1,Valencia,11,10,1,0,27.27,9.09,25.73,133.03
2024-01-16,2024,1,Barcelona,4,4,0,0,50.0,0.0,22.59,42.79
2024-01-16,2024,1,Bilbao,2,1,0,1,50.0,0.0,6.75,14.71
2024-01-16,2024,1,Madrid,17,15,2,0,41.18,11.76,25.55,181.79
2024-01-16,2024,1,Sevilla,4,3,1,0,75.0,25.0,5.88,48.5
2024-01-16,2024,1,Valencia,4,4,0,0,50.0,0.0,23.53,31.08
2024-01-17,2024,1,Barcelona,9,9,0,0,66.67,0.0,19.97,94.27
2024-01-17,2024,1,Bilbao,4,3,1,0,50.0,25.0,21.78,45.17
2024-01-17,2024,1,Madrid,18,15,3,0,27.78,16.67,24.19,177.43
2024-01-17,2024,1,Sevilla,3,3,0,0,66.67,0.0,15.95,40.2
2024-01-17,2024,1,Valencia,3,3,0,0,66.67,0.0,20.44,23.36
2024-01-18,2024,1,Barcelona,13,10,2,1,30.77,15.38,23.25,169.43
2024-01-18,2024,1,Bilbao,1,1,0,0,100.0,0.0,20.43,13.88
2024-01-18,2024,1,Madrid,12,10,2,0,75.0,16.67,14.57,127.05
2024-01-18,2024,1,Sevilla,2,2,0,0,0.0,0.0,25.43,30.39
2024-01-18,2024,1,Valencia,5,5,0,0,60.0,0.0,21.7,45.05
2024-01-19,2024,1,Barcelona,6,5,1,0,66.67,16.67,16.32,63.87
2024-01-19,2024,1,Bilbao,6,6,0,0,50.0,0.0,19.05,73.69
2024-01-19,2024,1,Madrid,19,16,3,0,52.63,15.79,19.62,203.91
2024-01-19,2024,1,Sevilla,4,3,1,0,0.0,25.0,26.82,58.28
2024-01-19,2024,1,Valencia,4,3,1,0,75.0,25.0,14.6,40.13
2024-01-20,2024,1,Barcelona,3,3,0,0,66.67,0.0,17.69,23.45
2024-01-20,2024,1,Bilbao,1,1,0,0,100.0,0.0,11.92,7.61
2024-01-20,2024,1,Madrid,4,4,0,0,75.0,0.0,24.56,51.81
2024-01-20,2024,1,Sevilla,3,3,0,0,100.0,0.0,13.51,34.01
2024-01-20,2024,1,Valencia,3,3,0,0,66.67,0.0,19.75,30.05
2024-01-21,2024,1,Barcelona,2,2,0,0,50.0,0.0,17.59,16.88
2024-01-21,2024,1,Madrid,5,5,0,0,60.0,0.0,23.59,46.3
2024-01-21,2024,1,Sevilla,1,1,0,0,0.0,0.0,24.87,15.85
2024-01-22,2024,1,Barcelona,7,7,0,0,71.43,0.0,18.5,63.93
2024-01-22,2024,1,Bilbao,6,6,0,0,33.33,0.0,26.27,48.47
2024-01-22,2024,1,Madrid,7,7,0,0,42.86,0.0,23.92,66.79
2024-01-22,2024,1,Sevilla,4,3,1,0,50.0,25.0,21.19,54.17
2024-01-22,2024,1,Valencia,3,3,0,0,66.67,0.0,18.75,37.38
2024-01-23,2024,1,Barcelona,10,6,3,1,50.0,30.0,20.31,112.73
2024-01-23,2024,1,Bilbao,1,1,0,0,0.0,0.0,34.58,10.35
2024-01-23,2024,1,Madrid,15,12,1,2,46.67,6.67,23.49,138.93
2024-01-23,2024,1,Sevilla,3,2,1,0,33.33,33.33,19.59,35.37
2024-01-23,2024,1,Valencia,8,8,0,0,37.5,0.0,23.82,58.67
2024-01-24,2024,1,Barcelona,12,9,3,0,58.33,25.0,16.11,117.89
2024-01-24,2024,1,Bilbao,4,3,0,1,50.0,0.0,18.78,56.74
2024-01-24,2024,1,Madrid,6,6,0,0,66.67,0.0,18.49,74.0
2024-01-24,2024,1,Sevilla,3,3,0,0,66.67,0.0,21.35,34.11
2024-01-24,2024,1,Valencia,4,3,1,0,50.0,25.0,18.33,52.34
2024-01-25,2024,1,Barcelona,11,11,0,0,54.55,0.0,22.97,134.91
2024-01-25,2024,1,Bilbao,5,5,0,0,60.0,0.0,24.34,61.09
2024-01-25,2024,1,Madrid,11,9,0,2,45.45,0.0,22.87,103.36
2024-01-25,2024,1,Sevilla,3,1,1,1,33.33,33.33,15.98,28.27
2024-01-25,2024,1,Valencia,4,4,0,0,75.0,0.0,18.49,59.2
2024-01-26,2024,1,Barcelona,6,6,0,0,50.0,0.0,19.92,79.55
2024-01-26,2024,1,Bilbao,2,1,1,0,0.0,50.0,31.42,24.18
2024-01-26,2024,1,Madrid,8,7,0,1,62.5,0.0,19.07,100.84
2024-01-26,2024,1,Valencia,9,8,1,0,66.67,11.11,18.81,111.89
2024-01-27,2024,1,Barcelona,10,8,1,1,60.0,10.0,18.99,125.15
2024-01-27,2024,1,Bilbao,1,1,0,0,0.0,0.0,24.08,13.02
2024-01-27,2024,1,Madrid,9,9,0,0,55.56,0.0,21.77,90.75
2024-01-27,2024,1,Sevilla,4,4,0,0,75.0,0.0,18.31,43.35
2024-01-27,2024,1,Valencia,3,2,1,0,66.67,33.33,18.03,34.18
2024-01-28,2024,1,Barcelona,7,6,1,0,57.14,14.29,19.86,64.55
2024-01-28,2024,1,Bilbao,1,1,0,0,100.0,0.0,13.03,8.4
2024-01-28,2024,1,Madrid,8,8,0,0,37.5,0.0,26.16,75.35
2024-01-28,2024,1,Sevilla,1,1,0,0,100.0,0.0,7.15,3.8
2024-01-28,2024,1,Valencia,5,4,0,1,0.0,0.0,32.11,56.18
2024-01-29,2024,1,Barcelona,8,8,0,0,50.0,0.0,21.13,83.81
2024-01-29,2024,1,Bilbao,4,4,0,0,50.0,0.0,26.82,51.46
2024-01-29,2024,1,Madrid,8,5,2,1,25.0,25.0,21.23,83.58
2024-01-29,2024,1,Sevilla,3,2,0,1,66.67,0.0,10.46,31.06
2024-01-29,2024,1,Valencia,7,6,0,1,57.14,0.0,19.89,67.55
2024-01-30,2024,1,Barcelona,7,4,3,0,42.86,42.86,18.15,72.65
2024-01-30,2024,1,Bilbao,2,2,0,0,0.0,0.0,31.09,18.47
2024-01-30,2024,1,Madrid,13,13,0,0,38.46,0.0,24.85,155.67
2024-01-30,2024,1,Sevilla,1,0,1,0,0.0,100.0,,14.69
2024-01-30,2024,1,Valencia,5,2,2,1,40.0,40.0,13.9,59.03
2024-01-31,2024,1,Barcelona,5,5,0,0,80.0,0.0,17.22,56.06
2024-01-31,2024,1,Bilbao,1,1,0,0,100.0,0.0,5.87,13.27
2024-01-31,2024,1,Madrid,12,11,0,1,50.0,0.0,19.25,133.81
2024-01-31,2024,1,Sevilla,4,4,0,0,25.0,0.0,25.53,44.3
2024-01-31,2024,1,Valencia,5,4,0,1,20.0,0.0,22.79,63.03
2024-02-01,2024,2,Barcelona,10,9,1,0,70.0,10.0,17.96,106.14
2024-02-01,2024,2,Bilbao,1,1,0,0,0.0,0.0,24.72,11.64
2024-02-01,2024,2,Madrid,18,13,4,1,44.44,22.22,21.66,156.55
2024-02-01,2024,2,Sevilla,3,2,1,0,33.33,33.33,20.86,27.82
2024-02-01,2024,2,Valencia,8,6,0,2,37.5,0.0,22.1,93.31
2024-02-02,2024,2,Barcelona,5,5,0,0,60.0,0.0,22.79,66.16
2024-02-02,2024,2,Bilbao,1,1,0,0,0.0,0.0,26.1,16.8
2024-02-02,2024,2,Madrid,9,8,0,1,44.44,0.0,23.67,109.74
2024-02-02,2024,2,Sevilla,3,2,0,1,33.33,0.0,21.56,28.56
2024-02-02,2024,2,Valencia,8,6,2,0,50.0,25.0,20.37,75.07
2024-02-03,2024,2,Barcelona,4,3,1,0,50.0,25.0,19.4,53.58
2024-02-03,2024,2,Bilbao,2,0,2,0,0.0,100.0,,21.0
2024-02-03,2024,2,Madrid,6,5,0,1,33.33,0.0,21.78,65.8
2024-02-03,2024,2,Sevilla,2,2,0,0,0.0,0.0,32.63,20.06
2024-02-03,2024,2,Valencia,2,2,0,0,0.0,0.0,32.99,26.98
2024-02-04,2024,2,Barcelona,2,2,0,0,50.0,0.0,21.69,14.23
2024-02-04,2024,2,Bilbao,2,1,1,0,0.0,50.0,30.73,18.66
2024-02-04,2024,2,Madrid,6,3,3,0,33.33,50.0,18.8,73.41
2024-02-04,2024,2,Sevilla,1,0,0,1,0.0,0.0,,4.12
2024-02-04,2024,2,Valencia,7,6,1,0,57.14,14.29,20.52,74.87
2024-02-05,2024,2,Barcelona,6,5,1,0,50.0,16.67,20.2,58.86
2024-02-05,2024,2,Bilbao,2,2,0,0,100.0,0.0,11.27,23.72
2024-02-05,2024,2,Madrid,7,5,2,0,42.86,28.57,18.82,92.63
2024-02-05,2024,2,Sevilla,5,3,1,1,40.0,20.0,16.28,58.44
2024-02-05,2024,2,Valencia,6,6,0,0,50.0,0.0,23.91,75.29
2024-02-06,2024,2,Barcelona,9,9,0,0,55.56,0.0,21.65,111.93
2024-02-06,2024,2,Bilbao,2,2,0,0,0.0,0.0,28.97,24.81
2024-02-06,2024,2,Madrid,10,8,2,0,40.0,20.0,24.33,114.12
2024-02-06,2024,2,Sevilla,1,1,0,0,100.0,0.0,17.25,10.83
2024-02-06,2024,2,Valencia,7,7,0,0,28.57,0.0,28.17,70.18
2024-02-07,2024,2,Barcelona,10,8,2,0,40.0,20.0,21.29,98.68
2024-02-07,2024,2,Bilbao,5,5,0,0,60.0,0.0,19.48,49.85
2024-02-07,2024,2,Madrid,11,10,1,0,54.55,9.09,22.54,123.14
2024-02-07,2024,2,Sevilla,1,1,0,0,100.0,0.0,5.0,9.25
2024-02-07,2024,2,Valencia,8,8,0,0,75.0,0.0,17.85,96.73
2024-02-08,2024,2,Barcelona,10,9,1,0,50.0,10.0,22.16,104.23
2024-02-08,2024,2,Bilbao,2,2,0,0,0.0,0.0,27.94,11.89
2024-02-08,2024,2,Madrid,20,18,2,0,50.0,10.0,21.78,215.15
2024-02-08,2024,2,Sevilla,5,3,2,0,40.0,40.0,24.79,57.13
2024-02-08,2024,2,Valencia,4,4,0,0,25.0,0.0,28.95,40.68
2024-02-09,2024,2,Barcelona,7,6,1,0,42.86,14.29,20.55,77.63
2024-02-09,2024,2,Bilbao,4,3,0,1,50.0,0.0,17.19,42.75
2024-02-09,2024,2,Madrid,15,15,0,0,53.33,0.0,22.24,170.8
2024-02-09,2024,2,Sevilla,8,6,2,0,50.0,25.0,19.9,92.21
2024-02-09,2024,2,Valencia,5,5,0,0,40.0,0.0,26.29,45.71
2024-02-10,2024,2,Barcelona,3,3,0,0,66.67,0.0,16.78,24.87
2024-02-10,2024,2,Bilbao,1,0,1,0,0.0,100.0,,17.11
2024-02-10,2024,2,Madrid,8,7,1,0,50.0,12.5,21.11,71.72
2024-02-10,2024,2,Sevilla,1,1,0,0,0.0,0.0,24.55,5.48
2024-02-10,2024,2,Valencia,2,1,1,0,50.0,50.0,23.22,32.97
2024-02-11,2024,2,Barcelona,7,6,0,1,57.14,0.0,20.41,88.25
2024-02-11,2024,2,Bilbao,3,2,0,1,33.33,0.0,23.56,25.55
2024-02-11,2024,2,Madrid,5,3,1,1,40.0,20.0,14.39,50.17
2024-02-11,2024,2,Sevilla,2,2,0,0,50.0,0.0,23.79,21.78
2024-02-11,2024,2,Valencia,1,1,0,0,0.0,0.0,27.03,7.26
2024-02-12,2024,2,Barcelona,9,7,2,0,55.56,22.22,16.39,106.36
2024-02-12,2024,2,Madrid,21,18,3,0,47.62,14.29,18.83,251.63
2024-02-12,2024,2,Sevilla,2,2,0,0,50.0,0.0,27.16,23.09
2024-02-12,2024,2,Valencia,7,5,2,0,57.14,28.57,16.11,94.1
2024-02-13,2024,2,Barcelona,8,7,0,1,50.0,0.0,19.15,79.02
2024-02-13,2024,2,Bilbao,2,1,1,0,0.0,50.0,33.3,24.32
2024-02-13,2024,2,Madrid,8,7,1,0,50.0,12.5,23.11,77.3
2024-02-13,2024,2,Sevilla,1,1,0,0,100.0,0.0,19.73,14.71
2024-02-13,2024,2,Valencia,5,4,1,0,60.0,20.0,19.25,51.02
2024-02-14,2024,2,Barcelona,11,10,1,0,63.64,9.09,21.26,131.16
2024-02-14,2024,2,Bilbao,3,3,0,0,66.67,0.0,21.95,31.99
2024-02-14,2024,2,Madrid,16,12,3,1,43.75,18.75,19.97,154.23
2024-02-14,2024,2,Sevilla,6,5,0,1,83.33,0.0,8.58,58.72
2024-02-14,2024,2,Valencia,6,4,0,2,66.67,0.0,14.06,82.38
2024-02-15,2024,2,Barcelona,8,6,2,0,25.0,25.0,21.98,87.46
2024-02-15,2024,2,Bilbao,6,6,0,0,66.67,0.0,20.47,61.16
2024-02-15,2024,2,Madrid,13,11,1,1,38.46,7.69,25.27,138.94
2024-02-15,2024,2,Sevilla,6,5,1,0,50.0,16.67,20.71,48.22
2024-02-15,2024,2,Valencia,6,5,1,0,66.67,16.67,17.86,78.22
2024-02-16,2024,2,Barcelona,10,8,1,1,50.0,10.0,16.51,108.7
2024-02-16,2024,2,Bilbao,1,1,0,0,100.0,0.0,14.83,10.32
2024-02-16,2024,2,Madrid,9,6,2,1,44.44,22.22,23.53,86.35
2024-02-16,2024,2,Sevilla,4,4,0,0,75.0,0.0,19.53,49.71
2024-02-16,2024,2,Valencia,6,5,1,0,33.33,16.67,24.3,58.34
2024-02-17,2024,2,Barcelona,7,6,0,1,85.71,0.0,13.35,69.97
2024-02-17,2024,2,Bilbao,2,2,0,0,100.0,0.0,12.9,12.17
2024-02-17,2024,2,Madrid,7,6,0,1,85.71,0.0,17.6,55.22
2024-02-17,2024,2,Sevilla,4,4,0,0,100.0,0.0,16.48,50.45
2024-02-17,2024,2,Valencia,4,4,0,0,75.0,0.0,18.84,36.72
2024-02-18,2024,2,Barcelona,4,4,0,0,25.0,0.0,25.78,46.9
2024-02-18,2024,2,Bilbao,3,2,0,1,33.33,0.0,21.9,35.86
2024-02-18,2024,2,Madrid,6,5,0,1,66.67,0.0,20.33,57.9
2024-02-18,2024,2,Valencia,5,5,0,0,100.0,0.0,12.69,61.28
2024-02-19,2024,2,Barcelona,6,6,0,0,16.67,0.0,30.3,54.03
2024-02-19,2024,2,Bilbao,2,1,1,0,50.0,50.0,13.95,28.37
2024-02-19,2024,2,Madrid,8,5,2,1,37.5,25.0,22.44,94.8
2024-02-19,2024,2,Sevilla,4,4,0,0,25.0,0.0,26.67,43.88
2024-02-19,2024,2,Valencia,7,4,3,0,42.86,42.86,22.96,80.57
2024-02-20,2024,2,Barcelona,5,5,0,0,100.0,0.0,17.03,34.55
2024-02-20,2024,2,Bilbao,1,1,0,0,100.0,0.0,20.5,7.59
2024-02-20,2024,2,Madrid,10,9,1,0,80.0,10.0,16.51,88.47
2024-02-20,2024,2,Sevilla,6,3,1,2,33.33,16.67,21.21,61.89
2024-02-20,2024,2,Valencia,3,3,0,0,66.67,0.0,21.41,32.26
2024-02-21,2024,2,Barcelona,5,4,1,0,40.0,20.0,23.27,55.77
2024-02-21,2024,2,Bilbao,2,1,1,0,0.0,50.0,34.07,18.94
2024-02-21,2024,2,Madrid,16,15,1,0,68.75,6.25,17.97,188.81
2024-02-21,2024,2,Sevilla,5,4,1,0,40.0,20.0,21.51,53.77
2024-02-21,2024,2,Valencia,5,3,1,1,0.0,20.0,30.18,54.43
2024-02-22,2024,2,Barcelona,10,9,1,0,40.0,10.0,21.94,101.45
2024-02-22,2024,2,Bilbao,1,1,0,0,100.0,0.0,15.45,17.54
2024-02-22,2024,2,Madrid,10,10,0,0,60.0,0.0,19.86,106.65
2024-02-22,2024,2,Sevilla,2,1,1,0,0.0,50.0,24.58,24.71
2024-02-22,2024,2,Valencia,5,5,0,0,80.0,0.0,14.2,62.29
2024-02-23,2024,2,Barcelona,9,6,2,1,33.33,22.22,26.03,68.63
2024-02-23,2024,2,Bilbao,2,1,0,1,50.0,0.0,22.38,34.28
2024-02-23,2024,2,Madrid,12,10,0,2,41.67,0.0,20.44,149.61
2024-02-23,2024,2,Sevilla,6,5,1,0,83.33,16.67,16.94,78.41
2024-02-23,2024,2,Valencia,6,4,1,1,50.0,16.67,22.06,61.08
2024-02-24,2024,2,Barcelona,8,8,0,0,87.5,0.0,14.05,85.53
2024-02-24,2024,2,Bilbao,3,2,1,0,66.67,33.33,12.45,36.29
2024-02-24,2024,2,Madrid,11,11,0,0,72.73,0.0,15.74,128.82
2024-02-24,2024,2,Sevilla,2,2,0,0,50.0,0.0,20.05,14.72
2024-02-24,2024,2,Valencia,5,4,1,0,40.0,20.0,25.96,51.1
2024-02-25,2024,2,Barcelona,3,2,0,1,33.33,0.0,27.22,25.63
2024-02-25,2024,2,Madrid,5,4,1,0,40.0,20.0,22.93,54.63
2024-02-25,2024,2,Sevilla,1,0,1,0,0.0,100.0,,6.33
2024-02-25,2024,2,Valencia,2,1,1,0,0.0,50.0,27.33,19.04
2024-02-26,2024,2,Barcelona,5,5,0,0,60.0,0.0,17.21,60.42
2024-02-26,2024,2,Bilbao,2,2,0,0,50.0,0.0,22.83,24.16
2024-02-26,2024,2,Madrid,9,7,2,0,66.67,22.22,18.95,114.81
2024-02-26,2024,2,Sevilla,2,2,0,0,0.0,0.0,29.0,26.13
2024-02-26,2024,2,Valencia,4,3,1,0,50.0,25.0,22.48,44.51
2024-02-27,2024,2,Barcelona,9,7,1,1,55.56,11.11,19.69,100.6
2024-02-27,2024,2,Madrid,14,13,1,0,71.43,7.14,18.55,148.1
2024-02-27,2024,2,Sevilla,3,3,0,0,100.0,0.0,7.88,37.05
2024-02-27,2024,2,Valencia,6,6,0,0,66.67,0.0,19.26,77.31
2024-02-28,2024,2,Barcelona,9,8,1,0,77.78,11.11,14.11,87.91
2024-02-28,2024,2,Madrid,21,17,4,0,47.62,19.05,18.79,246.9
2024-02-28,2024,2,Sevilla,2,2,0,0,100.0,0.0,20.39,29.44
2024-02-28,2024,2,Valencia,5,5,0,0,60.0,0.0,22.56,50.79
2024-02-29,2024,2,Barcelona,5,4,0,1,40.0,0.0,23.53,68.1
2024-02-29,2024,2,Bilbao,3,2,0,1,33.33,0.0,23.44,33.26
2024-02-29,2024,2,Madrid,7,4,1,2,42.86,14.29,20.88,71.56
2024-02-29,2024,2,Sevilla,3,2,1,0,33.33,33.33,23.56,27.71
2024-02-29,2024,2,Valencia,3,3,0,0,66.67,0.0,24.18,32.67
2024-03-01,2024,3,Barcelona,10,9,1,0,70.0,10.0,16.99,128.18
2024-03-01,2024,3,Bilbao,3,3,0,0,66.67,0.0,25.03,41.17
2024-03-01,2024,3,Madrid,18,17,1,0,50.0,5.56,24.11,196.45
2024-03-01,2024,3,Sevilla,4,3,1,0,50.0,25.0,19.67,47.54
2024-03-01,2024,3,Valencia,5,2,3,0,20.0,60.0,24.96,70.04
2024-03-02,2024,3,Barcelona,2,2,0,0,100.0,0.0,7.97,18.48
2024-03-02,2024,3,Bilbao,1,1,0,0,0.0,0.0,32.78,15.59
2024-03-02,2024,3,Madrid,11,9,1,1,36.36,9.09,22.82,125.12
2024-03-02,2024,3,Sevilla,2,2,0,0,0.0,0.0,36.17,33.68
2024-03-02,2024,3,Valencia,2,2,0,0,50.0,0.0,17.16,24.96
2024-03-03,2024,3,Barcelona,4,4,0,0,50.0,0.0,23.0,52.43
2024-03-03,2024,3,Bilbao,2,1,1,0,50.0,50.0,17.23,21.58
2024-03-03,2024,3,Madrid,6,5,1,0,33.33,16.67,23.75,59.48
2024-03-03,2024,3,Sevilla,1,1,0,0,100.0,0.0,13.42,6.19
2024-03-03,2024,3,Valencia,3,2,0,1,33.33,0.0,17.34,36.41
2024-03-04,2024,3,Barcelona,10,10,0,0,60.0,0.0,19.38,122.74
2024-03-04,2024,3,Bilbao,2,2,0,0,50.0,0.0,18.1,19.42
2024-03-04,2024,3,Madrid,21,20,1,0,47.62,4.76,22.21,194.25
2024-03-04,2024,3,Sevilla,4,3,1,0,75.0,25.0,19.43,22.2
2024-03-04,2024,3,Valencia,5,5,0,0,80.0,0.0,14.53,62.35
2024-03-05,2024,3,Barcelona,13,11,2,0,53.85,15.38,19.66,143.29
2024-03-05,2024,3,Madrid,13,12,1,0,61.54,7.69,18.63,150.01
2024-03-05,2024,3,Sevilla,4,4,0,0,25.0,0.0,23.79,49.28
2024-03-05,2024,3,Valencia,9,7,1,1,33.33,11.11,28.37,69.53
2024-03-06,2024,3,Barcelona,6,5,1,0,33.33,16.67,23.34,61.3
2024-03-06,2024,3,Bilbao,3,2,1,0,33.33,33.33,20.5,40.39
2024-03-06,2024,3,Madrid,10,10,0,0,70.0,0.0,17.76,89.2
2024-03-06,2024,3,Sevilla,6,5,0,1,33.33,0.0,22.75,45.18
2024-03-06,2024,3,Valencia,5,4,1,0,60.0,20.0,18.06,53.88
2024-03-07,2024,3,Barcelona,6,5,1,0,50.0,16.67,19.63,63.94
2024-03-07,2024,3,Bilbao,2,2,0,0,0.0,0.0,34.29,22.81
2024-03-07,2024,3,Madrid,11,9,2,0,54.55,18.18,19.31,114.7
2024-03-07,2024,3,Sevilla,5,5,0,0,60.0,0.0,21.07,60.32
2024-03-07,2024,3,Valencia,4,3,1,0,50.0,25.0,18.64,36.16
2024-03-08,2024,3,Barcelona,7,6,1,0,57.14,14.29,20.18,71.17
2024-03-08,2024,3,Bilbao,5,4,1,0,20.0,20.0,25.4,59.46
2024-03-08,2024,3,Madrid,21,17,3,1,42.86,14.29,21.44,258.82
2024-03-08,2024,3,Sevilla,6,6,0,0,50.0,0.0,23.05,75.61
2024-03-08,2024,3,Valencia,7,5,2,0,28.57,28.57,24.55,69.46
2024-03-09,2024,3,Barcelona,6,4,2,0,50.0,33.33,15.71,56.17
2024-03-09,2024,3,Bilbao,3,3,0,0,33.33,0.0,19.8,30.59
2024-03-09,2024,3,Madrid,13,9,1,3,38.46,7.69,23.86,128.53
2024-03-09,2024,3,Sevilla,3,3,0,0,100.0,0.0,14.05,31.57
2024-03-09,2024,3,Valencia,3,2,1,0,66.67,33.33,10.79,30.41
2024-03-10,2024,3,Barcelona,2,2,0,0,50.0,0.0,22.9,24.13
2024-03-10,2024,3,Madrid,4,3,1,0,50.0,25.0,18.8,46.56
