tracking_id,fecha_recogida,fecha_entrega,ciudad,codigo_postal,peso_kg,estado,repartidor_id,cliente_tipo,importe_envio
RPX-2024-006368,2024-12-17 14:42:42,2024-12-17 18:53:42,Bilbao,48007,16.67,ENTREGADO,REP-072,PARTICULAR,12.88
RPX-2024-001530,2024-04-26 10:11:54,2024-04-27 05:24:54,  Madrid  ,28039,23.31,ENTREGADO,REP-204,PARTICULAR,7.78
RPX-2024-004843,2024-09-25 12:41:31,2024-09-26 08:32:31,Sevilla,41008,3.2,ENTREGADO,REP-118,EMPRESA,7.88
RPX-2024-002474,2024-09-08 17:19:09,,Valencia,46009,1.04,INCIDENCIA,REP-051,EMPRESA,3.66
RPX-2024-003494,28/05/2024 14:51:56,2024-05-29 08:54:56,Valencia,46025,20.48,ENTREGADO,REP-017,PARTICULAR,11.51
RPX-2024-001275,18/06/2024 11:11:02,2024-06-19 22:49:02,Sevilla,41009,20.31,ENTREGADO,REP-129,PARTICULAR,10.25
RPX-2024-005449,2024-10-10 10:31:04,,Sevilla,41006,0.43,DEVUELTO,REP-028,PARTICULAR,4.63
RPX-2024-004603,03/09/2024 11:32:37,2024-09-03 22:23:37,Madrid,28044,7.3,ENTREGADO,REP-245,PARTICULAR,16.92
RPX-2024-001023,2024-11-05 14:23:00,2024-11-06 05:36:00,Barcelona,08012,2.55,ENTREGADO,REP-087,PARTICULAR,5.67
RPX-2024-002968,2024-01-15 14:30:16,2024-01-16 13:50:16,Valencia,46004,5.88,ENTREGADO,REP-114,PARTICULAR,6.08
RPX-2024-001448,2024-09-25 14:46:17,2024-09-26 16:07:17,Madrid,28037,10.82,ENTREGADO,REP-024,PARTICULAR,17.03
RPX-2024-014257,2024-01-08 12:48:02,,Barcelona,08022,15.95,INCIDENCIA,REP-197,PARTICULAR,8.73
RPX-2024-001909,10/07/2024 16:21:20,,Barcelona,08038,9.73,INCIDENCIA,REP-097,EMPRESA,11.66
RPX-2024-001918,2024-10-16 13:22:38,2024-10-17 02:36:38,Madrid,28047,0.21,ENTREGADO,REP-206,EMPRESA,8.49
RPX-2024-001046,2024-02-15 17:06:56,2024-02-15 21:23:56,Madrid,28002,23.27,ENTREGADO,REP-146,PARTICULAR,9.03
RPX-2024-005298,2024-03-29 16:56:53,2024-03-30 04:23:53,Sevilla,41008,1.02,ENTREGADO,REP-160,PARTICULAR,13.13
RPX-2024-001495,2024-12-20 14:15:29,2024-12-21 06:07:29,Valencia,46005,15.64,ENTREGADO,REP-047,PARTICULAR,14.58
RPX-2024-010289,2024-10-07 09:55:34,2024-10-08 14:33:34,Madrid,28014,16.1,ENTREGADO,REP-132,EMPRESA,9.95
RPX-2024-001025,2024-10-11 18:03:22,,Bilbao,48002,17.71,DEVUELTO,REP-133,PARTICULAR,5.55
RPX-2024-003319,2024-06-27 08:07:12,2024-06-27 17:58:12,Madrid,28017,11.06,ENTREGADO,REP-199,PARTICULAR,13.25
RPX-2024-010981,04/11/2024 09:12:45,2024-11-04 19:59:45,madrid,28004,16.44,ENTREGADO,REP-238,PARTICULAR,13.02
RPX-2024-014162,02/07/2024 08:05:06,2024-07-03 16:38:06,Madrid,28050,13.5,ENTREGADO,REP-087,EMPRESA,9.89
RPX-2024-006305,2024-08-14 09:38:00,,Madrid,28045,16.51,INCIDENCIA,REP-108,PARTICULAR,16.71
RPX-2024-009696,05/10/2024 18:49:56,2024-10-06 11:39:56,Sevilla,41015,9.89,ENTREGADO,REP-014,PARTICULAR,17.52
RPX-2024-005988,2024-03-18 16:20:03,2024-03-19 06:06:03,Madrid,28026,21.65,ENTREGADO,REP-069,PARTICULAR,14.51
RPX-2024-004931,2024-11-29 12:59:18,2024-11-29 21:41:18,Valencia,46016,11.02,ENTREGADO,REP-038,PARTICULAR,7.58
RPX-2024-003849,2024-04-17 09:24:29,2024-04-18 12:46:29,Sevilla,41014,15.58,ENTREGADO,REP-242,EMPRESA,11.92
RPX-2024-013893,2024-10-26 09:05:31,2024-10-26 22:43:31,Madrid,28045,6.33,ENTREGADO,REP-105,PARTICULAR,6.82
RPX-2024-014452,2024-11-14 11:43:01,,Barcelona,08034,17.55,DEVUELTO,REP-230,PARTICULAR,7.42
RPX-2024-005594,29/11/2024 09:39:34,2024-11-30 01:54:34,Madrid,28025,13.02,ENTREGADO,REP-012,PARTICULAR,6.46
RPX-2024-012062,2024-07-16 16:16:13,,Madrid,28042,12.85,INCIDENCIA,REP-096,EMPRESA,6.36
RPX-2024-002345,2024-03-07 18:08:31,2024-03-08 01:24:31,Barcelona,08013,17.02,ENTREGADO,REP-046,PARTICULAR,3.92
RPX-2024-009100,2024-11-29 08:12:14,2024-11-30 04:33:14,Valencia,46020,7.64,ENTREGADO,REP-041,PARTICULAR,6.54
RPX-2024-003093,2024-11-14 08:03:41,2024-11-14 19:53:41,MADRID,28025,24.77,ENTREGADO,REP-067,PARTICULAR,4.62
RPX-2024-004062,2024-04-18 11:59:42,2024-04-19 11:34:42,Sevilla,41007,20.61,ENTREGADO,REP-183,PARTICULAR,16.08
RPX-2024-009287,2024-08-09 10:31:30,2024-08-10 11:13:30,Barcelona,08041,11.5,ENTREGADO,REP-146,PARTICULAR,6.08
RPX-2024-006719,2024-08-02 13:03:36,,Madrid,28034,1.54,INCIDENCIA,REP-243,EMPRESA,8.55
RPX-2024-007167,2024-11-19 15:32:03,2024-11-20 06:09:03,Madrid,28001,23.07,ENTREGADO,REP-125,PARTICULAR,14.63
RPX-2024-006033,14/05/2024 09:10:06,2024-05-14 23:47:06,Valencia,46024,2.54,ENTREGADO,REP-120,PARTICULAR,16.27
RPX-2024-013023,2024-10-18 15:14:06,,Barcelona,08010,3.96,INCIDENCIA,REP-115,PARTICULAR,15.38
RPX-2024-007277,2024-10-16 09:38:33,2024-10-17 22:26:33,Madrid,28038,24.99,ENTREGADO,REP-205,EMPRESA,14.89
RPX-2024-007856,2024-05-27 14:30:18,2024-05-28 11:18:18,Barcelona,08029,23.11,ENTREGADO,REP-218,EMPRESA,5.6
RPX-2024-001881,2024-08-20 16:24:03,2024-08-21 02:14:03,MADRID,28051,12.49,ENTREGADO,REP-181,PARTICULAR,5.46
RPX-2024-011494,2024-06-20 18:22:22,,Madrid,28052,18.69,INCIDENCIA,REP-131,PARTICULAR,5.74
RPX-2024-006070,2024-12-03 13:55:46,2024-12-03 20:34:46,Madrid,28055,11.53,ENTREGADO,REP-246,PARTICULAR,8.96
RPX-2024-012332,2024-11-21 08:22:41,2024-11-22 00:44:41,Madrid,28048,,ENTREGADO,REP-217,PARTICULAR,6.08
RPX-2024-013093,2024-12-27 14:47:52,,  Barcelona  ,08023,24.32,INCIDENCIA,REP-050,EMPRESA,6.86
RPX-2024-004340,2024-03-12 17:16:06,2024-03-13 22:45:06,Barcelona,08010,4.63,ENTREGADO,REP-042,PARTICULAR,12.3
RPX-2024-005187,2024-03-29 09:03:09,2024-03-30 00:16:09,  Valencia  ,46015,11.88,ENTREGADO,REP-167,EMPRESA,6.31
RPX-2024-001193,2024-12-04 13:21:34,2024-12-04 19:03:34,Valencia,46010,2.3,ENTREGADO,REP-072,PARTICULAR,9.46
RPX-2024-012373,2024-12-25 08:25:51,2024-12-25 12:25:51,valencia,46003,"13,13",ENTREGADO,REP-236,PARTICULAR,9.42
RPX-2024-012754,2024-04-01 18:34:56,2024-04-02 20:06:56,MADRID,28052,4.86,ENTREGADO,REP-215,PARTICULAR,11.08
RPX-2024-012063,2024-03-16 18:20:29,2024-03-17 19:18:29,Madrid,28041,22.18,ENTREGADO,REP-045,PARTICULAR,14.85
RPX-2024-002597,2024-06-19 12:18:26,2024-06-20 13:19:26,Valencia,46002,11.2,ENTREGADO,REP-093,EMPRESA,12.14
RPX-2024-010905,2024-07-09 13:38:40,2024-07-10 04:40:40,Barcelona,08033,5.74,ENTREGADO,REP-138,PARTICULAR,5.92
RPX-2024-009760,2024-03-08 14:05:31,2024-03-10 00:50:31,Barcelona,8025,24.3,ENTREGADO,REP-048,EMPRESA,4.62
RPX-2024-010661,2024-11-15 15:04:37,2024-11-15 19:05:37,Madrid,28020,4.47,ENTREGADO,REP-243,PARTICULAR,12.66
RPX-2024-001276,2024-11-01 13:43:13,2024-11-02 17:25:13,Valencia,46024,12.96,ENTREGADO,REP-101,PARTICULAR,12.74
RPX-2024-003322,2024-09-07 10:30:26,2024-09-08 15:05:26,  Valencia  ,46005,14.38,ENTREGADO,REP-058,EMPRESA,7.35
RPX-2024-009156,2024-10-17 13:11:20,2024-10-17 23:47:20,Sevilla,41002,5.85,ENTREGADO,REP-019,EMPRESA,7.21
RPX-2024-013109,2024-10-30 11:59:16,2024-10-30 19:45:16,Valencia,46018,14.4,ENTREGADO,REP-139,PARTICULAR,14.81
RPX-2024-005079,2024-09-20 12:38:10,2024-09-21 18:16:10,Barcelona,08019,19.3,ENTREGADO,REP-176,PARTICULAR,6.73
RPX-2024-004692,2024-06-29 16:37:56,2024-06-30 10:19:56,Madrid,28033,15.76,ENTREGADO,REP-048,EMPRESA,6.7
RPX-2024-013506,2024-10-12 17:02:08,,barcelona,08031,17.2,DEVUELTO,REP-084,PARTICULAR,16.39
RPX-2024-014576,2024-06-28 09:20:04,2024-06-29 08:40:04,  Valencia  ,46024,18.33,ENTREGADO,REP-124,EMPRESA,5.22
RPX-2024-000150,2024-11-06 08:11:14,,Sevilla,41002,1.91,DEVUELTO,REP-217,PARTICULAR,7.59
RPX-2024-011897,2024-11-20 18:47:27,2024-11-21 19:47:27,Bilbao,48005,8.87,ENTREGADO,REP-016,EMPRESA,7.39
RPX-2024-004123,2024-10-01 15:27:27,,Madrid,28040,15.53,INCIDENCIA,REP-071,PARTICULAR,13.11
RPX-2024-006938,2024-11-08 11:37:36,2024-11-08 17:24:36,Bilbao,48006,5000.0,ENTREGADO,REP-026,PARTICULAR,17.02
RPX-2024-010340,2024-05-03 08:09:03,2024-05-03 21:43:03,Valencia,46007,13.04,ENTREGADO,REP-079,PARTICULAR,4.73
RPX-2024-014519,2024-04-19 17:49:09,2024-04-20 23:35:09,Madrid,28016,16.7,ENTREGADO,REP-137,PARTICULAR,9.4
RPX-2024-014965,15/10/2024 08:55:46,2024-10-15 18:42:46,Sevilla,41014,11.72,ENTREGADO,REP-030,PARTICULAR,4.65
RPX-2024-013142,2024-11-14 15:24:10,2024-11-15 23:14:10,Madrid,28053,23.92,ENTREGADO,REP-197,PARTICULAR,11.93
RPX-2024-006713,03/10/2024 08:38:50,2024-10-03 22:44:50,BARCELONA,08012,4.59,ENTREGADO,REP-092,PARTICULAR,11.62
RPX-2024-008179,18/07/2024 11:55:21,2024-07-20 00:04:21,Barcelona,08019,22.99,ENTREGADO,REP-025,EMPRESA,12.17
RPX-2024-003465,2024-08-24 18:04:41,2024-08-25 07:26:41,Sevilla,41010,11.82,ENTREGADO,REP-227,PARTICULAR,11.91
RPX-2024-005219,2024-07-29 17:58:36,2024-07-31 03:05:36,Madrid,28039,8.17,ENTREGADO,REP-161,PARTICULAR,15.15
RPX-2024-004864,2024-01-04 09:59:19,2024-01-04 17:35:19,madrid,28010,21.69,ENTREGADO,REP-200,PARTICULAR,6.29
RPX-2024-010305,2024-08-19 13:11:26,2024-08-20 03:19:26,Bilbao,48011,23.42,ENTREGADO,REP-115,EMPRESA,6.66
RPX-2024-005203,2024-01-30 08:20:02,2024-01-30 18:41:02,Valencia,46023,14.72,ENTREGADO,REP-016,PARTICULAR,9.43
RPX-2024-009687,2024-05-03 09:18:15,,Sevilla,41012,20.36,INCIDENCIA,REP-076,PARTICULAR,13.54
RPX-2024-012038,2024-08-18 17:51:42,2024-08-19 16:21:42,Barcelona,08037,18.57,ENTREGADO,REP-175,PARTICULAR,16.45
RPX-2024-005901,2024-04-21 09:56:12,2024-04-22 04:32:12,Madrid,28023,9.47,ENTREGADO,REP-030,PARTICULAR,17.65
RPX-2024-010637,2024-05-10 09:17:00,2024-05-10 23:41:00,Barcelona,08027,,ENTREGADO,REP-213,EMPRESA,12.79
RPX-2024-007467,2024-06-11 08:32:52,2024-06-12 14:49:52,Valencia,46004,10.19,ENTREGADO,REP-073,PARTICULAR,7.93
RPX-2024-001709,2024-11-14 18:42:15,2024-11-15 14:02:15,Bilbao,48002,7.7,ENTREGADO,REP-005,EMPRESA,12.22
RPX-2024-013497,2024-11-29 17:07:13,2024-11-30 12:51:13,Valencia,46022,9.35,ENTREGADO,REP-207,PARTICULAR,5.21
RPX-2024-012512,2024-09-06 09:48:43,2024-09-06 16:50:43,Madrid,28037,22.91,ENTREGADO,REP-054,PARTICULAR,13.01
RPX-2024-011966,2024-08-07 15:24:38,2024-08-07 20:11:38,Valencia,46022,9.28,ENTREGADO,REP-168,EMPRESA,7.29
RPX-2024-000701,2024-01-25 13:04:20,2024-01-26 23:11:20,Madrid,28039,7.1,ENTREGADO,REP-121,PARTICULAR,5.76
RPX-2024-006151,2024-12-27 10:03:55,2024-12-27 20:07:55,Madrid,28054,4.89,ENTREGADO,REP-141,PARTICULAR,6.0
RPX-2024-012131,2024-10-22 10:22:06,2024-10-23 09:16:06,Madrid,28025,20.76,ENTREGADO,REP-011,EMPRESA,8.63
RPX-2024-008172,2024-07-26 12:22:57,2024-07-27 09:53:57,Barcelona,08003,1.34,ENTREGADO,REP-073,EMPRESA,13.86
RPX-2024-002037,2024-11-28 10:59:55,2024-11-29 08:33:55,madrid,28032,21.37,ENTREGADO,REP-092,EMPRESA,17.82
RPX-2024-009075,23/07/2024 08:13:51,2024-07-24 20:03:51,Valencia,46009,,ENTREGADO,REP-076,PARTICULAR,4.94
RPX-2024-005124,2024-07-19 09:26:16,2024-07-19 21:11:16,Madrid,28011,16.55,ENTREGADO,REP-066,EMPRESA,15.36
RPX-2024-001666,2024-08-24 16:01:22,,Barcelona,08035,5.92,DEVUELTO,REP-069,PARTICULAR,17.51
RPX-2024-008568,2024-07-18 17:48:35,2024-07-19 18:49:35,Madrid,28054,12.63,ENTREGADO,REP-239,PARTICULAR,7.38
RPX-2024-001144,26/04/2024 09:03:19,2024-04-27 13:12:19,Valencia,46005,7.16,ENTREGADO,REP-250,EMPRESA,17.73
RPX-2024-008212,2024-11-29 18:11:54,2024-11-30 20:45:54,Sevilla,41014,8.45,ENTREGADO,REP-170,EMPRESA,15.22
RPX-2024-001142,2024-12-26 14:47:53,,Madrid,28021,2.31,INCIDENCIA,REP-144,EMPRESA,12.12
RPX-2024-007708,2024-03-08 08:10:39,,Sevilla,41013,12.51,INCIDENCIA,REP-116,PARTICULAR,5.03
RPX-2024-006971,2024-06-24 12:30:25,2024-06-24 21:27:25,Sevilla,41019,22.52,ENTREGADO,REP-188,PARTICULAR,5.23
RPX-2024-000321,2024-11-02 08:15:39,2024-11-03 06:15:39,Bilbao,48014,8.71,ENTREGADO,REP-121,EMPRESA,7.92
RPX-2024-004599,2024-01-05 18:59:43,,MADRID,28003,10.83,INCIDENCIA,REP-102,PARTICULAR,17.82
RPX-2024-002691,2024-05-20 10:39:58,,Valencia,46021,23.35,DEVUELTO,REP-127,PARTICULAR,14.39
RPX-2024-003969,28/12/2024 18:46:43,2024-12-28 22:51:43,Madrid,28052,8.81,ENTREGADO,REP-216,PARTICULAR,7.29
RPX-2024-000894,2024-01-08 09:21:41,,Valencia,46015,12.39,INCIDENCIA,REP-076,PARTICULAR,7.27
RPX-2024-012455,2024-11-09 13:01:39,2024-11-10 11:42:39,Barcelona,08022,13.93,ENTREGADO,REP-042,PARTICULAR,6.17
RPX-2024-010783,2024-11-05 09:23:35,2024-11-05 20:39:35,BILBAO,48015,7.11,ENTREGADO,REP-218,EMPRESA,8.87
RPX-2024-013060,2024-11-21 08:00:43,2024-11-21 12:41:43,Barcelona,08017,7.66,ENTREGADO,REP-239,PARTICULAR,4.98
RPX-2024-013126,2024-03-29 14:01:56,2024-03-30 20:43:56,Madrid,28024,10.33,ENTREGADO,REP-013,EMPRESA,14.29
RPX-2024-000173,2024-11-22 09:46:00,2024-11-23 00:42:00,MADRID,28029,10.47,ENTREGADO,REP-923,EMPRESA,8.59
RPX-2024-003179,2024-10-18 12:48:27,,Madrid,28027,20.93,DEVUELTO,REP-093,PARTICULAR,15.71
RPX-2024-000705,2024-05-30 13:26:30,,Barcelona,08011,11.03,DEVUELTO,REP-211,EMPRESA,11.77
RPX-2024-003270,2024-05-06 15:42:02,2024-05-07 15:34:02,Madrid,28005,18.48,ENTREGADO,REP-198,PARTICULAR,6.52
RPX-2024-005118,2024-11-27 11:18:47,2024-11-27 21:45:47,Bilbao,48001,16.88,ENTREGADO,REP-236,EMPRESA,13.12
RPX-2024-011492,2024-08-07 12:36:57,,Madrid,28054,20.66,INCIDENCIA,REP-245,PARTICULAR,8.16
RPX-2024-013047,2024-09-25 12:59:27,2024-09-25 22:00:27,Madrid,28019,9.6,ENTREGADO,REP-089,PARTICULAR,9.08
RPX-2024-003694,2024-08-06 17:55:57,2024-08-07 14:35:57,Madrid,28010,4.95,ENTREGADO,REP-039,EMPRESA,15.4
RPX-2024-012305,2024-10-12 08:54:29,2024-10-13 12:42:29,Barcelona,08020,1.83,ENTREGADO,REP-167,PARTICULAR,14.42
RPX-2024-006486,2024-06-22 12:58:04,2024-06-23 01:19:04,Madrid,28049,1.2,ENTREGADO,REP-143,PARTICULAR,16.41
RPX-2024-009303,2024-11-26 11:53:07,,Valencia,46008,20.27,INCIDENCIA,REP-118,EMPRESA,12.04
RPX-2024-010751,2024-11-20 18:42:22,,Bilbao,48006,17.87,DEVUELTO,REP-247,PARTICULAR,10.36
RPX-2024-005281,2024-08-24 08:52:50,2024-08-25 17:20:50,Barcelona,08040,13.43,ENTREGADO,REP-090,EMPRESA,7.5
RPX-2024-001682,2024-11-02 10:26:25,,Madrid,28054,20.74,INCIDENCIA,REP-111,PARTICULAR,11.92
RPX-2024-005554,2024-11-08 08:07:28,2024-11-09 10:24:28,Madrid,28007,,ENTREGADO,REP-020,PARTICULAR,6.7
RPX-2024-009677,2024-03-01 09:49:04,,Madrid,28051,15.34,INCIDENCIA,REP-019,PARTICULAR,9.82
RPX-2024-000247,06/06/2024 15:21:39,2024-06-07 19:12:39,Valencia,46023,8.05,ENTREGADO,REP-064,PARTICULAR,3.57
RPX-2024-007554,2024-04-24 11:57:51,2024-04-25 01:30:51,Barcelona,08017,14.45,ENTREGADO,REP-065,PARTICULAR,13.14
RPX-2024-010105,02/03/2024 16:04:00,2024-03-03 02:26:00,Madrid,28012,19.35,ENTREGADO,REP-149,PARTICULAR,6.06
RPX-2024-007829,2024-03-15 17:35:30,2024-03-16 23:42:30,Madrid,28008,15.26,ENTREGADO,REP-238,PARTICULAR,3.58
RPX-2024-002970,2024-09-30 16:23:06,2024-10-01 17:10:06,Valencia,46004,10.93,ENTREGADO,REP-140,EMPRESA,14.92
RPX-2024-001063,2024-01-03 17:39:56,2024-01-03 23:03:56,Madrid,28044,1.16,ENTREGADO,REP-122,PARTICULAR,16.64
RPX-2024-013781,2024-04-11 17:45:28,2024-04-12 01:40:28,Madrid,28045,"19,58",ENTREGADO,REP-160,EMPRESA,13.52
RPX-2024-009905,2024-12-24 11:09:35,,Madrid,28024,3.99,INCIDENCIA,REP-148,EMPRESA,6.84
RPX-2024-005439,2024-04-18 14:57:35,2024-04-19 06:29:35,Bilbao,48004,"10,09",ENTREGADO,REP-167,PARTICULAR,17.06
RPX-2024-005731,2024-12-26 13:40:24,2024-12-26 23:28:24,Madrid,28048,"20,83",ENTREGADO,REP-010,PARTICULAR,16.21
RPX-2024-000524,2024-05-06 16:55:33,2024-05-06 23:42:33,Madrid,28014,4.09,ENTREGADO,REP-031,PARTICULAR,16.86
RPX-2024-010449,2024-03-06 09:35:13,2024-03-07 12:54:13,Valencia,46003,19.32,ENTREGADO,REP-042,PARTICULAR,13.5
RPX-2024-002703,2024-10-04 09:01:38,2024-10-05 03:56:38,Barcelona,08020,20.21,ENTREGADO,REP-092,PARTICULAR,9.33
RPX-2024-002793,2024-01-19 09:16:15,2024-01-20 01:52:15,  Madrid  ,28006,,ENTREGADO,REP-230,PARTICULAR,15.4
RPX-2024-005769,2024-10-22 09:23:26,2024-10-23 14:40:26,Madrid,28036,24.7,ENTREGADO,REP-166,PARTICULAR,13.13
RPX-2024-000887,2024-04-09 17:41:26,2024-04-09 23:20:26,Bilbao,48007,5.76,ENTREGADO,REP-021,PARTICULAR,10.8
RPX-2024-011023,2024-01-23 16:26:59,,Sevilla,41014,7.52,INCIDENCIA,REP-135,PARTICULAR,17.94
RPX-2024-013407,27/11/2024 09:30:35,2024-11-28 04:49:35,Madrid,28016,9.55,ENTREGADO,REP-072,PARTICULAR,8.03
RPX-2024-001188,2024-12-24 16:11:08,2024-12-25 04:06:08,Madrid,28018,9.91,ENTREGADO,REP-143,EMPRESA,5.3
RPX-2024-012916,2024-11-28 11:19:34,,Madrid,28017,20.75,DEVUELTO,REP-063,PARTICULAR,5.87
RPX-2024-013433,2024-07-27 10:32:30,2024-07-28 16:51:30,Madrid,28013,14.57,ENTREGADO,REP-020,EMPRESA,8.74
RPX-2024-012392,2024-02-22 08:48:25,2024-02-23 18:34:25,Barcelona,08019,13.3,ENTREGADO,REP-232,EMPRESA,15.82
RPX-2024-014810,2024-09-04 11:45:47,2024-09-04 23:57:47,Barcelona,08007,12.42,ENTREGADO,REP-013,PARTICULAR,17.82
RPX-2024-013482,2024-04-15 09:36:22,2024-04-16 13:05:22,Barcelona,08011,14.16,ENTREGADO,REP-179,PARTICULAR,9.68
RPX-2024-006204,2024-03-28 16:53:26,2024-03-29 16:12:26,Madrid,28003,21.66,ENTREGADO,REP-126,PARTICULAR,4.05
RPX-2024-000072,05/11/2024 16:59:10,2024-11-06 09:47:10,Barcelona,08031,24.11,ENTREGADO,REP-233,PARTICULAR,12.87
RPX-2024-007754,2024-11-14 10:30:03,2024-11-15 07:42:03,Madrid,28028,19.42,ENTREGADO,REP-068,PARTICULAR,5.94
RPX-2024-001589,2024-02-16 12:02:03,,Barcelona,08034,19.26,INCIDENCIA,REP-156,EMPRESA,6.42
RPX-2024-004502,2024-04-12 16:53:10,2024-04-13 12:57:10,Valencia,46007,14.75,ENTREGADO,REP-054,PARTICULAR,14.3
RPX-2024-010399,2024-04-12 15:45:46,2024-04-13 01:55:46,Barcelona,08028,21.28,ENTREGADO,REP-068,PARTICULAR,13.36
RPX-2024-010037,2024-01-08 08:32:11,2024-01-08 14:13:11,Valencia,46011,22.31,ENTREGADO,REP-001,PARTICULAR,15.51
RPX-2024-007454,2024-06-24 08:09:34,2024-06-25 04:36:34,Sevilla,41012,13.22,ENTREGADO,REP-090,PARTICULAR,16.08
RPX-2024-010035,2024-11-27 17:15:35,2024-11-28 00:02:35,Sevilla,41002,11.53,ENTREGADO,REP-089,EMPRESA,14.46
RPX-2024-000284,2024-12-24 13:43:32,,Barcelona,08029,9.65,INCIDENCIA,REP-038,PARTICULAR,12.66
RPX-2024-000374,2024-11-08 15:33:05,2024-11-10 02:13:05,Barcelona,08040,18.59,ENTREGADO,REP-163,EMPRESA,4.63
RPX-2024-011980,2024-12-15 13:30:44,2024-12-16 21:06:44,Madrid,28031,3.87,ENTREGADO,REP-126,PARTICULAR,4.23
RPX-2024-005099,2024-03-18 13:50:27,2024-03-19 10:23:27,Valencia,46005,"3,05",ENTREGADO,REP-075,EMPRESA,9.41
RPX-2024-000070,2024-05-28 15:13:12,,Sevilla,41009,17.47,INCIDENCIA,REP-151,PARTICULAR,12.43
RPX-2024-014243,2024-11-15 16:13:39,,  Madrid  ,28029,22.76,INCIDENCIA,REP-090,PARTICULAR,15.15
RPX-2024-003136,18/11/2024 08:33:42,2024-11-18 19:38:42,Madrid,28050,8.71,ENTREGADO,REP-112,PARTICULAR,9.04
RPX-2024-006974,2024-09-19 14:04:00,2024-09-20 15:30:00,Bilbao,48003,4.81,ENTREGADO,REP-058,PARTICULAR,5.64
RPX-2024-014533,12/11/2024 17:16:55,2024-11-13 09:53:55,Madrid,28017,19.25,ENTREGADO,REP-244,PARTICULAR,8.76
RPX-2024-011329,2024-03-02 09:53:21,2024-03-02 21:20:21,Madrid,28012,24.05,ENTREGADO,REP-148,PARTICULAR,5.21
RPX-2024-012276,14/03/2024 13:28:06,2024-03-15 04:18:06,Sevilla,41002,8.51,ENTREGADO,REP-203,PARTICULAR,3.7
RPX-2024-001030,2024-05-27 08:30:15,2024-05-28 19:05:15,Madrid,28001,3.82,ENTREGADO,REP-081,PARTICULAR,8.14
RPX-2024-003536,2024-12-25 08:59:05,2024-12-26 09:07:05,Barcelona,08014,20.19,ENTREGADO,REP-244,PARTICULAR,7.45
RPX-2024-012955,2024-11-07 11:25:45,2024-11-08 21:12:45,Barcelona,08003,,ENTREGADO,REP-179,PARTICULAR,7.65
RPX-2024-013943,2024-09-12 15:36:21,,Madrid,28039,15.8,INCIDENCIA,REP-984,PARTICULAR,8.32
RPX-2024-006519,17/04/2024 13:37:48,2024-04-18 01:57:48,Madrid,28013,2.86,ENTREGADO,REP-222,EMPRESA,11.97
RPX-2024-013295,2024-03-02 11:37:42,2024-03-03 03:38:42,Madrid,28022,14.53,ENTREGADO,REP-218,EMPRESA,13.83
